"sys_proc_exit","000400"
"sys_int_enable_all","000404"
"sys_int_disable_all","000408"
"sys_int_restore_all","00040C"
"sys_int_disable","000410"
"sys_int_enable","000414"
"sys_int_register","000418"
"sys_int_pending","00041C"
"sys_int_clear","000420"
"sys_get_info","000424"
"sys_chan_read_b","000428"
"sys_chan_read","00042C"
"sys_chan_readline","000430"
"sys_chan_write_b","000434"
"sys_chan_write","000438"
"sys_chan_status","00043C"
"sys_chan_flush","000440"
"sys_chan_seek","000444"
"sys_chan_ioctrl","000448"
"sys_chan_open","00044C"
"sys_chan_close","000450"
"sys_chan_swap","000454"
"sys_chan_device","000458"
"sys_cdev_register","00045C"
"sys_bdev_register","000460"
"sys_bdev_read","000464"
"sys_bdev_write","000468"
"sys_bdev_status","00046C"
"sys_bdev_flush","000470"
"sys_bdev_ioctrl","000474"
"sys_fsys_open","000478"
"sys_fsys_close","00047C"
"sys_fsys_opendir","000480"
"sys_fsys_closedir","000484"
"sys_fsys_readdir","000488"
"sys_fsys_findfirst","00048C"
"sys_fsys_findnext","000490"
"sys_fsys_get_label","000494"
"sys_fsys_set_label","000498"
"sys_fsys_mkdir","00049C"
"sys_fsys_delete","0004A0"
"sys_fsys_rename","0004A4"
"sys_fsys_load","0004A8"
"sys_fsys_register_loader","0004AC"
"sys_fsys_stat","0004B0"
"sys_mem_get_ramtop","0004B4"
"sys_mem_reserve","0004B8"
"sys_time_jiffies","0004BC"
"sys_rtc_set_time","0004C0"
"sys_rtc_get_time","0004C4"
"sys_kbd_scancode","0004C8"
"sys_err_message","0004CC"
"sys_kbd_layout","0004D0"
"sys_proc_run","0004D4"
"sys_txt_get_capabilities","0004D8"
"sys_txt_set_mode","0004DC"
"sys_txt_set_resolution","0004E0"
"sys_txt_setsizes","0004E4"
"sys_txt_set_xy","0004E8"
"sys_txt_get_xy","0004EC"
"sys_txt_get_region","0004F0"
"sys_txt_set_region","0004F4"
"sys_txt_set_color","0004F8"
"sys_txt_get_color","0004FC"
"sys_txt_set_cursor","000500"
"sys_txt_set_cursor_visible","000504"
"sys_txt_set_font","000508"
"sys_txt_get_sizes","00050C"
"sys_txt_set_border","000510"
"sys_txt_set_border_color","000514"
"sys_txt_put","000518"
"sys_txt_print","00051C"
"sys_kbd_handle_irq","000520"
"sys_reboot","000524"
"sys_proc_set_shell","000528"
"sys_proc_get_result","00052C"
"sys_fsys_set_cwd","000530"
"sys_fsys_get_cwd","000534"
